City,Country,Latitude,Longitude,Population,DateTime,Weather,Main_Weather,Feels_like,temp,max_temp,min_temp,Wind_Speed
Shenyang,CN,41.79,123.43,"7,220,104",2020-04-27 00:11,Clouds,scattered clouds,3.09,7.0,7.0,7.0,2.0
Surat,IN,21.17,72.83,"7,184,590",2020-04-26 21:41,Clear,clear sky,28.67,28.03,28.03,28.03,6.54
Baghdad,IQ,33.34,44.4,"7,144,260",2020-04-26 19:10,Clouds,few clouds,20.87,26.0,26.0,26.0,6.2
Santiago,CL,-33.46,-70.65,"6,767,223",2020-04-26 12:08,Clouds,broken clouds,14.94,17.0,17.0,17.0,2.6
Dar Es Salaam,TZ,-6.82,39.27,"6,701,650",2020-04-26 19:07,Clouds,few clouds,31.18,29.0,29.0,29.0,5.1
Pune,IN,18.52,73.86,"6,629,347",2020-04-26 21:41,Clear,clear sky,25.27,26.71,26.71,26.71,3.92
Madrid,ES,40.42,-3.7,"6,617,513",2020-04-26 18:07,Clouds,broken clouds,12.87,17.86,20.0,16.0,6.7
Harbin,CN,45.75,126.65,"6,387,195",2020-04-27 00:11,Clouds,scattered clouds,3.37,7.55,8.89,5.0,3.0
Toronto,CA,43.7,-79.42,"6,196,731",2020-04-26 12:10,Rain,light rain,2.44,9.02,11.67,6.67,7.2
Belo Horizonte,BR,-19.92,-43.94,"6,084,430",2020-04-26 13:11,Clouds,scattered clouds,23.13,25.39,26.0,25.0,6.2
Singapore,SG,1.29,103.85,"5,935,053",2020-04-27 00:09,Clouds,broken clouds,31.83,27.09,28.0,25.56,1.5
Khartoum,SD,15.55,32.53,"5,828,858",2020-04-26 18:11,Clear,clear sky,34.67,39.0,39.0,39.0,3.1
Johannesburg,ZA,-26.2,28.04,"5,782,747",2020-04-26 18:11,Clouds,broken clouds,17.42,19.34,21.0,17.78,2.52
Qingdao,CN,36.1,120.37,"5,619,977",2020-04-27 00:11,Clear,clear sky,7.14,10.59,11.67,9.0,2.16
Dalian,CN,38.91,121.6,"5,617,849",2020-04-27 00:11,Clear,clear sky,5.06,9.0,9.0,9.0,3.0
Barcelona,ES,41.39,2.16,"5,585,556",2020-04-26 18:07,Clouds,few clouds,18.44,19.55,21.11,17.78,4.1
Fukuoka,JP,33.61,130.42,"5,528,632",2020-04-27 01:11,Clouds,scattered clouds,10.15,11.46,12.78,10.56,1.0
St Petersburg,RU,59.89,30.26,"5,467,808",2020-04-26 19:11,Clouds,scattered clouds,-0.54,6.05,6.11,6.0,6.0
Jinan,CN,36.67,117.0,"5,360,185",2020-04-27 00:11,Clouds,broken clouds,14.85,18.89,18.89,18.89,3.03
Yangon,MM,16.81,96.16,"5,331,800",2020-04-26 22:41,Clouds,scattered clouds,31.35,29.0,29.0,29.0,4.1
Zhengzhou,CN,34.76,113.65,"5,322,696",2020-04-27 00:11,Clouds,scattered clouds,14.46,18.0,18.0,18.0,4.0
Alexandria,EG,31.22,29.96,"5,280,664",2020-04-26 18:11,Clouds,few clouds,19.79,21.0,21.0,21.0,2.1
Abidjan,CI,5.31,-4.02,"5,202,762",2020-04-26 16:11,Thunderstorm,thunderstorm with light rain,28.77,24.0,24.0,24.0,1.5
Guadalajara,MX,20.67,-103.33,"5,179,479",2020-04-26 11:11,Clear,clear sky,22.46,24.86,25.56,24.0,1.41
Ankara,TR,39.92,32.85,"5,117,603",2020-04-26 19:07,Clouds,scattered clouds,13.67,18.13,19.0,17.22,3.1
Chittagong,BD,22.92,91.5,"5,019,824",2020-04-26 22:12,Rain,light rain,30.17,26.46,26.46,26.46,2.13
Melbourne,AU,-37.81,144.96,"4,967,733",2020-04-27 02:11,Clear,clear sky,5.58,8.66,10.0,7.22,3.6
Sydney,AU,-33.87,151.21,"4,925,987",2020-04-27 02:10,Rain,shower rain,13.22,15.74,18.0,13.33,3.6
Monterrey,MX,25.67,-100.32,"4,874,095",2020-04-26 11:10,Drizzle,drizzle,17.03,17.27,18.0,16.67,3.25
Nairobi,KE,-1.28,36.82,"4,734,881",2020-04-26 19:08,Rain,moderate rain,18.82,20.18,20.18,20.18,2.34
Brasilia,BR,-15.78,-47.93,"4,645,843",2020-04-26 13:07,Clouds,broken clouds,23.79,25.0,25.0,25.0,5.1
Cape Town,ZA,-33.93,18.42,"4,617,560",2020-04-26 18:11,Clouds,broken clouds,17.74,20.37,21.11,20.0,6.7
Changsha,CN,28.2,112.97,"4,577,723",2020-04-27 00:12,Clouds,overcast clouds,18.52,19.0,19.0,19.0,2.0
Kunming,CN,25.04,102.72,"4,443,186",2020-04-27 00:11,Clouds,scattered clouds,8.36,10.57,11.11,10.0,2.0
Changchun,CN,43.88,125.32,"4,425,761",2020-04-27 00:12,Clouds,few clouds,-1.63,3.0,3.0,3.0,3.0
Xinbei,CN,24.16,115.69,"4,398,383",2020-04-27 00:12,Clouds,overcast clouds,20.03,19.85,19.85,19.85,1.0
Urumqi,CN,43.8,87.6,"4,368,865",2020-04-27 00:11,Clear,clear sky,18.35,26.0,26.0,26.0,6.0
Shantou,CN,23.37,116.71,"4,327,316",2020-04-27 00:12,Clouds,broken clouds,22.17,22.0,22.0,22.0,2.0
Rome,IT,41.89,12.48,"4,257,056",2020-04-26 18:10,Clouds,few clouds,15.11,19.37,22.22,16.11,4.6
Hefei,CN,31.86,117.28,"4,241,514",2020-04-27 00:12,Clear,clear sky,17.81,17.98,20.0,16.0,2.0
Montreal,CA,45.51,-73.59,"4,220,566",2020-04-26 12:07,Clouds,overcast clouds,1.9,9.92,11.11,8.89,7.7
Tel Aviv,IL,32.08,34.78,"4,181,479",2020-04-26 19:10,Clear,clear sky,17.23,19.8,21.11,18.33,3.6
Porto Alegre,BR,-30.03,-51.23,"4,137,417",2020-04-26 13:09,Clouds,broken clouds,23.64,23.54,24.0,23.0,4.1
Recife,BR,-8.05,-34.88,"4,127,091",2020-04-26 13:08,Clouds,broken clouds,32.93,29.0,29.0,29.0,2.6
Ningbo,CN,29.88,121.55,"4,116,209",2020-04-27 00:08,Clouds,overcast clouds,14.51,16.0,16.0,16.0,3.0
Shijiazhuang,CN,38.04,114.48,"4,114,393",2020-04-27 00:12,Clouds,overcast clouds,10.35,12.0,12.0,12.0,1.0
Los Angeles,US,34.05,-118.24,"4,085,014",2020-04-26 09:11,Haze,haze,21.33,20.69,24.44,17.0,0.71
Fortaleza,BR,-3.72,-38.52,"4,073,465",2020-04-26 13:12,Clouds,broken clouds,31.64,28.84,30.0,27.22,2.6
Medellin,CO,6.25,-75.56,"4,000,263",2020-04-26 11:12,Clouds,broken clouds,22.84,22.86,27.0,20.0,1.0
Kano,NG,12.0,8.52,"3,999,050",2020-04-26 17:10,Clouds,scattered clouds,41.83,41.0,41.0,41.0,1.5
Yaounde,CM,3.87,11.52,"3,992,411",2020-04-26 17:12,Clouds,scattered clouds,31.18,29.0,29.0,29.0,3.6
Jaipur,IN,26.92,75.82,"3,909,333",2020-04-26 21:40,Drizzle,light intensity drizzle,24.4,26.0,26.0,26.0,5.1
Ekurhuleni,ZA,-26.22,28.16,"3,894,262",2020-04-26 18:12,Clouds,broken clouds,15.92,18.63,21.0,15.56,3.1
Nanning,CN,22.82,108.32,"3,859,608",2020-04-27 00:12,Clouds,overcast clouds,20.23,19.0,19.0,19.0,1.0
San Salvador,SV,13.69,-89.19,"3,839,076",2020-04-26 10:12,Haze,haze,33.13,29.06,32.0,27.0,1.5
Casablanca,MA,33.59,-7.62,"3,752,357",2020-04-26 16:07,Clouds,few clouds,16.43,20.0,20.0,20.0,5.1
Xiamen,CN,24.48,118.08,"3,720,141",2020-04-27 00:11,Clouds,overcast clouds,20.84,21.0,21.0,21.0,2.0
Lucknow,IN,26.85,80.92,"3,676,515",2020-04-26 21:42,Thunderstorm,thunderstorm with light rain,22.73,21.0,21.0,21.0,2.1
Douala,CM,4.05,9.7,"3,663,227",2020-04-26 17:12,Clouds,scattered clouds,35.75,32.0,32.0,32.0,2.1
Changzhou,CN,31.78,119.97,"3,625,328",2020-04-27 00:10,Rain,light rain,12.82,14.44,16.11,13.33,1.79
Wenzhou,CN,28.0,120.67,"3,623,646",2020-04-27 00:12,Clouds,overcast clouds,18.19,18.24,18.24,18.24,1.36
Nanchang,CN,28.68,115.88,"3,598,421",2020-04-27 00:12,Clouds,broken clouds,19.69,20.35,20.35,20.35,2.3
Berlin,DE,52.52,13.41,"3,562,038",2020-04-26 18:11,Clouds,scattered clouds,13.82,17.68,18.33,17.0,3.6
Kozhikode,IN,11.25,75.77,"3,555,411",2020-04-26 21:42,Rain,light rain,33.26,28.82,28.82,28.82,3.22
Ibadan,NG,7.39,3.9,"3,551,961",2020-04-26 17:08,Clouds,overcast clouds,34.6,31.72,31.72,31.72,1.82
Busan,KR,35.1,129.04,"3,465,190",2020-04-27 01:07,Clear,clear sky,5.18,8.0,8.0,8.0,2.1
Faisalabad,PK,31.42,73.08,"3,462,295",2020-04-26 21:10,Clear,clear sky,28.56,30.46,30.46,30.46,2.94
Bekasi,ID,-6.23,106.99,"3,394,273",2020-04-26 23:12,Thunderstorm,thunderstorm,27.2,23.74,26.0,21.67,1.5
Malappuram,IN,11.07,76.07,"3,391,277",2020-04-26 21:42,Rain,light rain,33.02,27.82,27.82,27.82,1.44
Antananarivo,MG,-18.91,47.54,"3,368,585",2020-04-26 19:07,Clouds,few clouds,21.87,21.0,21.0,21.0,1.0
Kumasi,GH,6.69,-1.62,"3,348,062",2020-04-26 16:12,Rain,light rain,33.3,29.6,29.6,29.6,2.45
Asuncion,PY,-25.3,-57.64,"3,336,562",2020-04-26 12:08,Clouds,broken clouds,35.14,35.0,35.0,35.0,5.7
Santo Domingo,DO,18.5,-69.99,"3,317,784",2020-04-26 12:12,Clouds,scattered clouds,32.04,29.8,30.56,29.44,4.1
Guiyang,CN,26.58,106.72,"3,317,110",2020-04-27 00:11,Clouds,broken clouds,9.8,11.0,11.0,11.0,1.0
Campinas,BR,-22.91,-47.06,"3,300,794",2020-04-26 13:12,Clouds,few clouds,23.85,25.93,27.0,25.0,2.6
Kampala,UG,0.32,32.58,"3,298,364",2020-04-26 19:11,Rain,light rain,22.72,23.23,23.23,23.23,1.98
Abuja,NG,9.06,7.49,"3,277,740",2020-04-26 17:10,Rain,light rain,35.35,34.69,34.69,34.69,2.43
